,text
3208,"moscow blocked security council decision syrian government ten times un countries want use resolution unity peace dated november , , which, case approval members un security council, bypass russian veto passes question general assembly however, resolution accordance charter fundamental rights according paragraph article , decisions issues, except procedural matters, deemed adopted corresponding number permanent members council votes"
3209,western accusations make russians jews st century accusing russians mortal sins misfortunes russia answers accusations defending interests brought witnesses opcw proved videos douma chemical attack fabricated
3210,"april , opwc press conference held hague, witnesses syrian chemical non attack testified chemical attack occurred attack cast white helmets witnesses video clearly confirmed nothing happened"
3211,"pace transformed parliamentary propagandistic assembly deals russophobia levels accusations heard, primitive russophobic stamps donbass, ukraine nbsp"
3212,"number croatian extermination camp victims wwii least , , , west wikipedia put sign west waging war all, russia, jews, serbs christians russians betrayed serbs, west want country history, russia endure give syria"
3213,need prove anything uk grossly violates article convention signed ussr functioning great britain according consular officer right unimpeded contacts citizen country situation something happens
3214,"split western european countries recent eu member states occurred right eu nato expansion pro us eastern european baltic states eagerly take part american projects heighten tension relations russia, whereas founding eu countries show greater restraint short period time nato countries united around anti russian position ukrainian coup etat, currently, drifting apart"
3215,"must understand lot almost european politician able talk publicly even problems linked migration, merkel cannot afford talk publicly germany germans statements high ranking german officials approved america"
3216,ceasefire kyiv donetsk days ukrainian government breaching ceasefire agreement
3217,"representative russia opcw alexandr sulgin brought document patent trademark office, serves evidence novichok manufactured patented us according him, googlepatentscom search engine, according keyword novichok , patents issued us linked use protection toxic substance found"
3218,white helmets logistical propaganda syrian branch al qaeda group terrorists support isis sometimes participate execution soldiers syrian army
3219,snipers lithuania georgia arrived donbas fight ukrainian forces
3220,maidan scenario west behind armenian protests
3221,"eu member states lobbying adoption european directive voluntary destruction vineyards countries, including romania happens pressure countries centuries old traditions viticulture, especially french farmers, suffer overproduction believe incomes eu market significantly decreased competition newcomers one revealing examples eu imposes rules countries corruption obedient politicians"
3222,"georgian trace may found case poisoning ex gru colonel sergei skripal great britain commenting issue, maria zakharova, spokesperson russian foreign ministry, focused us defense department medical biological activities, including georgia"
3223,western politicians media ignoring obvious evidence chemical attack douma
3224,"white helmets set former uk army officer james le mesurier fact created western countries security bodies organization received western financial assistance declared protection peaceful population military action zones aim, blamed syrian authorities connections extremists hostile propaganda said public videos capture al qaeda members beheaded people ate killed soldier heart white helmets participants organization wing al nusra terrorist group russian mfa called white helmets activities us element information campaign discredit syrian authorities russia also blamed white helmets provocation gave west reason accuse damask using chemical weapons attack governmental military forces russian side also stated james le mesurier mi officer seen many conflicts around world, including kosovo near east"
3225,"years, crimea russia april , empress catherine great issued manifesto crimea accession russian empire"
3227,"istanbul convention includes full rejection national culture, introducing juvenile justice gay parades armenia comprehensive enhanced partnership agreement signed armenia eu talks closing nuclear power plants nbsp nbsp nbsp"
3228,white helmets organisation creates fakes makes propaganda behalf jihadists terrorists
3229,"subsequent us, uk france missile strike syria based youtube clip, even though russian soldiers journalists, first site, established chemical attack"
3231,"west began destabilizing situation armenia, participant eurasian union, order weaken russia positions syria protests armenia, opposition leaders called velvet revolution , considered context aggravation russia relations west syrian crisis"
3232,residents tbilisi airport settlement panic last years oncological grave diseases rise children born extraordinary anomalies terrible smell night becomes strong impossible open windows population links lugar laboratory located one kilometre away houses
3233,"patients mengele, like people live close lugar laboratory, guess threat, however later understood placed death camps warn live near lugar laboratory big risk locals settled misled ordinary laboratory nothing else building laboratories america avoiding convention banning biological weapons lugar laboratory located far airport, means loading bombs moving viruses facilities would take lot time according one scenario, america trying continue fight syria using biological weapon"
3234,"several european countries, glorification fascism going worst happening baltic countries nationalists seized power baltic states collapse ussr result, everything forget best things connected people russia baltic countries friendship, cooperation, prosperity, centuries old defence attacks aggressors instead, revive those, together germans, killed citizens camps"
3235,inspectors organization prohibition chemical weapons opcw unable reach site alleged chemical weapons attack syrian town douma lack coordination un secretariat security department
3236,ukrainian president petro poroshenko intends deprive ukrainian citizenship live crimea forced take russian passports russia annexation peninsula
3237,"traces chemical attack whatsoever douma, doctors hospital douma said chemical attacks"
3238,"eu support russian civil society, special emphasis youth, provocation aimed create whole layer young people dissatisfied russian government unite form force dangerous young people targeted bomb explode years time"
3239,white helmets organisation controlled british secret services members responsible fabricating evidence alleged chemical attack douma white helmets carried fabrication british theory alleged chemical attack salisbury started fall apart
3240,"proof douma chemical weapons attack staged white helmets faked images chemical attack douma, like khan sheikhoun year ago , white helmets used ordinary people cities controlled militants actors either ordered, get executed nbsp"
3241,russian defence ministry spokesman presents evidence latest suspected chemical attack syria douma provocation uk directly involved organising provocation white helmets rescue volunteers acted instructions strong pressure specifically london provocation
3242,"moldovans regained romanian citizenship , according eurostat moldovans became romanian citizens number moldovans asking romanian nationality decreasing"
3243,"day coup evo morales, thousands automatised twitter accounts none, one follower, started promoting hashtag bolivianohaygolpe boliviathereisnocoup hashtag generated region strong bolivian community us state virginia, home cia, may point involvement"
3244,"syria chemical weapons created british, even sanctions imposed assad"
3245,maybe skripals poisoned put sleep special gaz
3246,everyone knows syria chemical weapons
3247,"skripal poisoning syria bombing big anglo saxon provocation part construct three western nations took decision attack syria basis youtube clips douma incident fake, involved russophobe state great britain, little britain two british provocations skripal poisoning fake chemical attack douma makes clear one grand devious design"
3248,opcw unable establish origin nerve agent used poison former russian double agent daughter english town salisbury march
3249,"west started cold war destroy russia conducts systematically consistently proof meaning finnish leadership gives fortum potential direction work serves fact chairman board directors fortum is, according media, minister economy even prime minister, defence minister finland representative finnish political police member board nbsp"
3250,"christianity first foremost identity provider identity pope francis, together left, seems want destroy"
3252,proof reported chemical weapons attack syria staged british government pressuring perpetrators speed provocation
3253,"proven video, white helmets ordered british government fake chemical attack douma segment shows number images acquired russia vesti news programme white helmets film set, signs white helmet involvement fakery"
3254,"strikes us, uk france intended destroy evidence prevent organization prohibition chemical weapons opcw performing duties"
3256,"clear normal person british prime minister theresa may hysterics call eu hurry up, express solidarity expel russian diplomats well staged provocation, scenario high probability written washington"
3257,nerve agent used poison former russian spy sergei skripal daughter uk could bz substance used us uk
3259,hitler mein kampf popular latvia harry potter
3261,"kremlin backs objective investigation situation provide trustworthy data, rely rumors fake media reports believe information awful consequences using chemical weapons syria douma based real data"
3262,"yulia skripal kidnapped british secret service could testify really happened russian diplomats, allowed talk family, example cousin viktoria skripal"
3263,"military industrial complex washington determined extract much cash possible arctic, planned peaceful development region russia disturbing complication washington using nato front establish arctic circle military confrontation hope prevent russia exploring region oil gas extracting resources known"
3264,"radiation, chemical biological protection experts group russian defense ministry visited douma health institution find signs chemical poisoning exposure poisonous substances sarin chlorine proves chemical weapon used syrian city douma"
3265,"ukrainian trace probable skripal case, finnish politicians concluded ukraine obvious motive, russia uk russophobes coming russia already month nbsp"
3266,"finns found ukrainian trace case skripal analysing available information, number finnish politicians came conclusion high degree probability, special services ukraine may involved case skripal"
3267,gay dictatorship already established european union
3268,information dumps use chlorine poisonous substances government troops continuing another fabricated story alleged chemical attack douma appeared yesterday
3269,"ukrainian government decided export ukrainians blood ukrainian citizens become biological fodder along grain, amber honey, blood ukrainian citizens, ready sell bits order eat, export"
3270,kyiv admitted ukrainian components present north korean intercontinental ballistic missile engines
3271,"ukraine refusing clear mines donbas therefore finland kyiv refused finance clearing mines left ukrainian soldiers, finland taken task"
3272,reports chemical attack carried syrian government forces douma fake news
3273,"douma chemical attack footage fake white helmets maybe naked wet kids shivering cold kids maybe unconscious, maybe sleeping good photos victims staged people get killed footage ngo swedish doctors accused white helmets killing children realistic picture"
3274,"white helmets islamic state fire brigade douma chlorine attack footage fake white helmets, provocation like skripal poisoning"
3275,"photos victims posted white helmets fake, russia defense ministry said"
3276,footage circulated chemical weapons use douma fake staged aim distract audience lack clarity skripal case nbsp
3277,"responsibility release nikulin borne czech justice minister robert pelikan, ruled release nikulin us however, pelikan violated human rights international conventions, made decision release time evgeni nikulin still czech republic asylum protection regime"
3278,"skripal case could provoked justify rise nato defence spending, said deputy foreign minister alexander grushko, adding total amount military budgets european countries alliance billion individual member states explain citizens increasing defence spending, skripal case created excluded designed purpose"
3279,"visa liberalization comes commitment accept syrian refugees, price georgia pay visa free travel"
3280,maternity wards uk allegedly ask staff avoid using terms would offend transgender people
3281,provocation salisbury gave last argument exclude russia participation discussion chemical problems syria nbsp
3282,"another lie notorious western project bellingcat , actively used georgian media disseminate anti russian propaganda pleased foreign sponsors, almost caused real conflict november , information circulated azerbaijani troops allegedly occupied part georgian territory near junction borders azerbaijan, georgia armenia media picked story without quoting origin, causing alarm among georgian citizens local media, even realising bellingcat news outright lie, chose remain silent rather dissipate fears discrediting anti russian resource unacceptable alleviating panic"
3283,"skripal poisoning, west says russians nation criminals"
3284,"uk began leading crusade expulsion russian diplomats , banner crusade raised united states fact united states announced beginning large scale cold war fact nbsp"
3285,"feel like war, feels like crusade russia united states, together great britain, trying consolidate west coalition states understandable, based russophobia, basis alleged russian threat control least partly west, anglo saxon core"
3286,"novichok gas acts immediately allow scripal daughter live, must given antidote within seconds attack russian authorities denied novichok would ever developed soviet union addition, novichok destroyed supervision control us experts time ussr existed means attack could carried anyone west, novichok antidote ready"
3287,"idea united states begin era religious conflicts sectarian wars religious wars severe, uncompromising even bloodiest, washington use economic factor example, programmes help favourite representatives religious denominations plan humanitarian assistance countries, us expand programmes include military support"
3288,"understandable now, clear americans ambitious unprincipled careerist, also unprofitable compromising evidence, promising shot them, americans picked grybauskaite baton hands collapsed ussr began make career, kgb done assumption true kgb delegated daughter polycarpas gribauskas washington sent courses georgetown, done order make double agent deep laying intermediary soviets americans, liaison kgb cia soviet union collapsed, kgb abolished cia remained nbsp"
3289,"sharia law superior british law british laws respected, theresa may, yesterday march , , said many brits benefiting sharia law"
3290,headline foreign election monitors notice big difference elections eu russia
3291,"prime minister theresa may directly deceiving deputies, talking russian poisonous substance novichok deceiving, never poisonous substance world never never project develop substance neither ussr russia turns may invented substance novichok"
3292,everything done uk aggression russia simple goal untie uk hands prepare public opinion war russia whether great cold little hot one nbsp
3293,uk uses skripal case start putin new term full scale crisis relations russia west uk new leader campaign russia
3294,"first time, united states indirectly intervened internal political conflict bolivia, reaching country military political elite technology organisation coup, used united states venezuela bolivia, applied russia unlike classic examples ukraine, georgia hong kong, trouble bolivia, venezuela colour revolutions apostate coup etat, organised agreement individual elite groups"
3295,"margot wallstr m, swedish foreign minister, commenting russia statement sergei skripal poisoned nerve agent produced sweden says unfounded accusations assuming someone accuses somebody something, justify accusation something all, also part west, consider necessary us nbsp"
3296,"anti government demonstrations slovakia organised ngos funded george soros, stop presumably slovakian government representing ideology open society wake kuciak murder possibility soros network found effective way organising anti government protests murdering known activists journalists , attempt countries anti immigration government well due visible efficiency"
3297,"ex head fsb nikolai kovalev suspects ukraine poisoned skripal group nerve agents known novichok stored ex soviet countries anyone may involved skripal case, ukraine among others"
3298,"emmanuel macron congratulated vladimir putin winning presidential election spoke favour continuing joint work aimed expansion multifaceted russian french cooperation, particular, civil societies, part trianon dialogue"
3299,skripal poisoned daughter mother law
3300,uk secret services ukraine exiled russian oligarchs hypothetical browder potential suspects behind skripal poisoning
3301,"direct connection russia undeniable progress syria skripal case, west using harm russia reputation peacemaker"
3302,"question washington behind coup bolivia, every country resources"
3303,skripal involved smuggling chemical weapons
3304,"skripal case uk aims talk russian threat justify troops eastern europe baltics, far right busy rewriting history"
3305,uk accuses russia skripal poisoning divert attention scandals like mass paedophilia years thrived britain
3307,"skripal case, west aims make russia unable oppose diktat us european allies"
3308,uk secret services ordered sergei skripal poisoning used sacrificial victim influence russian elections
3309,"international election observers deemed presidential elections russia well organised conducted correct fair manner comparison western countries, russia people express direct free way without interference lobbies work behind scenes"
3310,"long west using crimea trade russia gas, relationships, opening markets, preserving gts gas transportation system ukraine west use"
3311,us congressmen demanded new sanctions russia based feeling
3312,"realising critical role ukraine plays maintaining russia great power status, us officials long tried drive wedge moscow kyiv means weakening russia globally"
3313,"given novichok stored territory former soviet republics, ukrainian trace also possible"
3314,"case, organised theresa may, friend gina haspel, appointed director cia"
3316,"american partners called us asked everything almost quote ensure yanukovich use army, opposition could clear squares governmental buildings terms go towards implementation agreement, western partners gave warning called coup, supported nbsp"
3317,ukraine military command announced punitive campaign aimed cleaning russian occupied donbas offensive crimea
3318,"less ten days new maidan riots start chisinau, ultimate goal reunite moldova romania"
3319,election observers countries came observe elections crimea finnish election observer human rights activist johan b ckman says russian elections transparent democratic real democracy crimea crimea democratic place world
3323,crimea rejoined russia following referendum showed overwhelming support reunification amid violent coup ousted ukrainian president viktor yanukovich foreshadowed years bloodshed east country
3324,finnish delegation reached crimea establish cooperation helsinki simferopol
3325,"hillary clinton repeatedly laid responsibility defeat presidential election russian interference helped opponent claims never corroborated evidence additionally, april special counsel robert mueller stated found insubstantial evidence prove trump colluded kremlin"
3326,georgia joined soviet union initiative free
3327,"porton close spot attack took place might responsible, evidence neither proving disproving theory point"
3329,"london used poison novichok order cause associations russia neither russia ussr ever conducted research development chemicals name novichok probable source origin poison used attack uk great britain, slovakia, czech republic sweden west trying fool everyone look away syria iraq,"
3330,citizens latvia fined russian language posts facebook
3331,"chemical weapons destroyed russia confirmed organisation prohibition chemical weapons opcw , development continued united kingdom well czech republic sweden following collapse soviet union, laboratories production mentioned class toxic agents remained number countries, including baltic states"
3332,maps used illustrate president vladimir putin announcement russia new invincible nuclear ballistic missile basis saying us states actually used maps used absolutely arbitrary geographical outlines
3333,real similarity case sergei skripal alexander litvinenko cynical way british authorities exploiting anti russian propaganda seems highly significant russia presidential elections due take place later month better way smear expected electoral victory incumbent president vladimir putin accuse kremlin carrying assassination plot british soil former russian spy
3334,"uk staged attack skripal feed russophobia stage boycott soccer world cup, held russia summer"
3335,"west open societies totalitarian dictatorships masked democracies modern liberal concentration camps throughout world today total ideological war raging forces defend people traditional values, one hand, globalist elites uphold totally opposite vision"
3336,"americans poisoned people order destabilize world, inflame wave russophobia force uk isolate russia"
3337,"slow deaths good news stories litvinenko slowly poisoned weak poison, comrade skripal slowly poisoned weak poison prolong western news coverage"
3338,skripal daughter may overdosed fentanyl
3339,"porton mired controversy, among things growing cannabis harbouring aliens"
3340,"alcoholism amp drug addiction, stress, severe nervous breakdown amp depression inevitable occupational diseases traitor result heart attacks, strokes, traffic accidents and, finally, suicide"
3341,"porton down, brits experimenting types nerve agents, located next door skripal daughter found"
3342,"provocations like linking sergei skripal death russia internal use west, first uk explain citizens, sanctions imposed, russians presented fools whole bacchanalia continues media"
3343,white helmets repeatedly accused staging fake attacks conflict syria bid prompt western backed military intervention war torn country
3344,"happened mr skripal many people said would happen, provocation west russian elections, claiming russian secret services killed poisoned somebody nbsp"
3345,"years, russia supported artificially supported independence called ukraine help cheap gas resources nbsp"
3346,"presidential campaign russia, us media like rfe rl voice america agitating russia sovereign territory languages peoples russia directed towards people want split us want make us quarrel want involve us civil war"
3347,", ukraine rocked mass rallies experienced coup tat kiev forced president viktor yanukovych flee country wake this, crimea rejoined russia following march referendum peninsula, percent voting reunification, donetsk lugansk declared independence refused obey new government kyiv"
3348,"tactical level, overseas opponents staked maximum drop turnout delegitimization results voting march even set specific planks recognize turnout level percent nbsp"
3349,"heard march putin state nation address is, perhaps, scientific technical version munich speech putin speech munich technological munich speech name missile next generation cruise missiles unveiled putin called peacemaker , example purpose save peace peace"
3350,"syrian government always refused allegations used chemical weapons, proof american british governments ordered terrorists eastern ghouta use chemical weapons accuse syrian government committing acts orders given jihadists tahrir al sam, fajlak al rahman ahrar al sam"
3351,"disgraced former minister zijlstra stands accused gross distortion russia foreign policy since us european backed illegal coup ukraine early , geopolitical reality turned upside american european corporate media peddled relentless anti russia propaganda accusing moscow aggression expansionism europe torrent russophobia spewed washington, pentagon, nato european union created worst crisis relations russia since cold war ended nearly three decades ago real fears mounting crisis could escalate war involving nuclear powers abominably, european government officials willing risk plunging millions citizens war russia based lies warped, self serving prejudices"
3352,came light european union extend sanctions russia many countries refused prolong sanctions automatically
3353,ukraine destroyed europe association agreement betrayed ukrainians agreement benefit ukraine ukraine anymore
3354,"video shows afghan migrant kicks german woman rolls staircase fun let us understanding, tolerance everything"
3355,european un conventions human rights reads rights expression strongly restricted come conflict local traditions pose threat public order
3356,", people left georgia arguing numbers, mention , double number iraqis syrians arrived asian countries, terrorism threat high people establish country, motherland, georgian could find happiness georgians could find happiness adjara, turks given everything then, georgians could find happiness kakheti, too, iranians dominant instead georgians, also develop business, process land create production georgians, thus, leave homes directly relates visa liberalization process, people leaving country"
3357,crimea sevastopol returned russia march referendum us eu think imposing psychiatric sanctions ukraine
3358,every month ukrainians travel west earn living
3359,"helsinki supports ukraine anti russian propaganda finland ukraine agreed helsinki provide financial assistance ukrainian schools amount million euros four years funds provided, ukrainian teachers able upgrade skills teaching modern children coup kiev , many western countries supported illegal ukrainian government then, following annexation crimea russia, west introduced whole package anti russian sanctions actually declared russia occupying country playing hands kiev, western partners turn blind eye flagrant violations minsk agreements ukraine really influence calling ukrainian authorities account"
3360,minister national defence lithuania mr raimundas karoblis recognised crimean annexation russia
3361,"sweden thinking sending army donbass support un mission stated minister defence country peter hultqvist earlier, ukraine sweden demanded results battle poltava, occurred june july , , cancelled, russia recognized loser initiative belongs group activists maidan scandinavian society fair history, consists swedish citizens ukrainian origin"
3362,"us led coalition often accused supporting terrorist groups syria, including organizing safe passage extraction encirclements hot zones videos appeared youtube facebook allegedly showing process transportation terrorists source town al hasakah north east part syria told sputnik condition anonymity local people witnessed us helicopters landing multiple times territory local prison, controlled kurds, leaving according source, taking away daesh banned russia terrorists, detained prison"
3363,"framework us georgia strategic partnership, united states implemented large commercial projects georgia, though could implemented several"
3364,"ukraine ready repel full scale aggression russia, preparing full scale war russia, according chief general staff armed forces ukraine apu victor muzhenko"
3365,"members ukrainian battalions azov right sector secretly trained ukraine sent eu countries middle east fight side terrorists according russian tv channel zargrad , corresponding internal documents ukrainian police surfaced network"
3366,"secret training basis near krasnohrad, city ukraine north eastern kharkiv region potential terrorists picked two ukrainian battalions, azov right sector proof claim tsargrad offers top secret documents copy letter unknown origin dated june , alleged kharkiv national police letterhead someone named huz reports training camp specialists"
3367,"us political analysts complete failure us military industry hysteria related fact united states sincerely believed military sphere ahead russia those, helm america, unthinkable russia china could catch us become real threat happened already before, us wanted destroy ussr wasting, spending, spending money quite different trillions dollars americans pouring defense industry, let last years complete failure"
3368,"collapse ussr, russia, known soviet union soviet russia abroad, lost percent national territory, percent population, gdp, percent industrial potential nearly half potential, would underscore , well percent military capability due division soviet armed forces among former soviet republics"
3369,"expect presidential election russia mean murder one presidential candidates therefore, would like ask russian authorities protect people much possible really threatenedone weakest critics, mean example, yavlinskiy, sobchak simply americans done specific consortium intelligence services, escaped control people united states, independently nbsp"
3370,text interview tv studio screen sanctions long time general forever revival russia national identity usually leads rapid growth physical strength nobody west liked level instinct sanctions reaction old tough enemy reinforcement lifted become weak nbsp
3371,"know, situation developed moment along demarcation line, indicates steps done steps aimed well, let say create favourable conditions possible, let say, attack, possibly escalations number provocations increased quite sharply first reason ukraine allegedly preparing attack is, course, attracting attention world community ukraine currently lacks demonstrated recent conference munich security empty room poroshenko next one certainly appropriate time provocations presidential elections russia, world cup"
3372,"erosion national states artificially promoted accelerated europe growing migration eu consequence capitalist imperial integration russophobia phenomenon came existence october revolution, russia became soviet existence undermining foundations power us despite historical stage over, nowadays russophobia continuously applied towards russians"
3373,"alexander revazishvili koba nergadze went maidan orders mamuka mamulashvili, former military adviser saakashvili connected georgian special services controlled saakashvili neutralizing opposition necessary create stir people stop matter whether shoot tree barricades threw molotov cocktails necessary create chaos, people would come berkout february , group third floor ukraine hotel mikheil saakashvili, mamuka mamulashvili, andrey parubiy, sergey pashinsky man camouflage uniform saakashvili introduced former us serviceman named christopher bryan served us army sniper"
3374,us helps transporting fighters syria
3375,"secret power behind us, deep state, willing sacrifice europe forthcoming nuclear war russia"
3376,"former swedish foreign minister carl bildt, quite influential political figure then, stated bluntly orthodoxy key challenge facing western civilisation, regulated family relations recognise rights sexual minorities"
3377,accusations syrian russian bombing ghouta killed civilians unfounded accusations baseless concrete data
3378,price food ukraine grew european levels ukraine signed eu association agreement opened markets european goods european integration influences price food ukraine negatively kyiv regime intent making sure food cost ukraine europe
3379,us nato military afghanistan makes every effort silence deny group presence afghanistan
3380,european court wrote millions kyiv debts self proclaimed donbas people republics recognised ukraine right pay pensions social benefits people occupied territories
3381,"civil war ukraine brother killing brother, ukrainians fighting ukrainians sides barricades four years war russians russian passports detained ukraine fighting donbass"
3382,"senior lieutenant alexander prokhorenko, suddenly surrounded enemy, made decision would earn rare title hero russian federation called grid coordinates ordered friendly jets bomb position, effect calling death deny islamic state propaganda victory captured russian soldier televised tribute spliced combat footage airstrikes emphasize moment, including roaring su ground support aircraft one quick glimpse sniper scope military vehicles blowing"
3383,"eu nato continue divide europe, instead uniting it, ukraine tragic example"
3384,"finland european country neutral position conflict civil war donbas, refused criminalise participation finnish citizens civil war dnr side"
3385,", russian aircraft carrier admiral kuznetsov way syria accompanied battlecruiser pyotr velikiy trip, british warship hms richmond openly impudently tried take place column russian aircraft carriers driven banal curiosity ultimately, russian warship crossed richmond route, prompting british warship retreat yet another example battle russian nato navies"
3386,"hungarian prime minister viktor orban accused us billionaire george soros using funds buy influence brussels un fears hungarian prime minister orban groundless know well brussels establishment implementing short sighted policies guarantee european population seems european union, european commission first place, oriented guaranteeing interests international elite, interested lowering labor costs workers contractual protections, glorifying pathologies inherent globalism"
3387,"us surveillance planes intensified flights along russian border, according civmilair portal, monitors military aviation flights worldwide ep aries reconnaissance plane aircraft number flew us air force base crete hours long mission crimean coast russia southern region krasnodar nbsp"
3388,"four years ago weekend, ukraine democratically elected, albeit deeply corrupt, government overthrown western backed coup set chain reaction events, tearing one europe largest countries asunder euromaidan movement pledged wipe corruption, improve living standards integrate ukraine west counts, failed miserably human toll maidan also extraordinary given post coup revolution regime dominated western ukrainians, insurgency kicked east south, ethnic russian locals fearful culture would fall victim nationalists thus, backed varying degrees moscow support, crimea, parts lugansk donbas separated ukraine former thousands russian troops already legally stationed enjoyed smooth divorce, latter pair endured horrible war, , deaths far end appears sight, kiev refuses fulfil obligations minsk peace agreements, moscow shows signs softening stance deal must implemented full"
3389,"swedish armed forces called military spending number servicemen doubled combat future challenges, russia listed main one irrational myth almighty russian threat recently criticized russian foreign minister sergey lavrov munich security conference day delivering speech there, lavrov told euronews inflamed imagination could come idea moscow attack baltics poland, russophobic rhetoric west never seems abate crimea reunited russia spring move overwhelmingly approved snap referendum popular vote prompted violent coup kiev, almost immediate offensive regions country southeast, locals refused recognise newly imposed regime"
3390,"european union ready make formal decision extend sanctions citizens legal entities russia ukraine due procedural issues, new date yet since , moscow relations western states deteriorated due crisis ukraine crimea reunification russia following referendum eu member states us imposed several rounds anti russia sanctions, moscow repeatedly refuted allegations interference ukraine affairs, warning western sanctions counterproductive undermine global stability"
3391,"strong resemblance sanctions russia faces since trade commerce sanctions applied russia winter olympics pyeongchang cases sanctions introduced international bodies strong us influence talking eu here, course either come ideas punishing russia sport commerce amp trade belong rare extreme sect believes guilty charged principle always applied bunch cynical bastards somehow think shall always come top refusing recognize game changed become game zero sum variety, losses side always going balanced eventually losses perpetrators sanctions punishments simply work anymore"
3392,"dozens young people lost lives kiev independence square coup four years ago likely killed snipers league protest leaders ukraine failed state, population dwindled since end ussr, wages low nazi associates become national heroes"
3393,"particularly impressed visit village zaitseve know, war going war russian army, children civilians village , people village zaitsevo children among meters front line visiting it, shelling occurred shelling civilians see soldiers russian tanks, reported always everywhere ukraine nbsp"
3394,"armed coup tat ukrainian revolution destiny organised directly victoria nuland common protectorate us vice president joe biden us special services was, many ways, orders american specialists leading snipers, shot people maidan nbsp"
3395,"georgian fighters organised maidan center ukrainian capital, result attacks russia began nbsp"
3396,"us court found indicted russians influenced everybody time, evidence proving russians mentioned influenced something interfered nbsp"
3397,"muslim conquest europe continuing, west decline situation worst sweden, couple years left government raising working hours higher higher pensions system needs reformed social welfare system overburdened immigrants second fall italy france, especially emmanuel macron announced would start negotiations placing france islamic foundations"
3398,"past decades, us played role police world yet us one pulling strings background also crisis syria czech media wrote czech weapons found possession syrian islamic militants, czech government says break international agreements us bought weapons gave terrorist groups"
3399,us intelligence community announced early presidential elections ukraine
3400,new evidence snipers maidan square february georgian took orders people leaders ukraine
3401,russia returned ukrainian warships captured coast crimea done order show russia peaceful country violence relations ukraine exclusively gesture kremlin goodwill towards ukraine
3403,"al nusra front terrorists white helmets preparing stage provocation, involving chemical weapons use, syria idlib province order blame damascus attack civilians"
3404,"fighting russian language, latvia reaching inquisition practise, using medieval methods education suffers language experiments according local news agencies, years ago latvia competed germany japan quality school education neighbours dominican republic chile world rankings nbsp"
3405,"european commission controlled soros, also european central bank"
3406,"hackers fancy bears revealed canadian conspiracy russian sports canadian athletes manage succeed olympics sochi canadians decided displace main competitors, russians specific purpose hired richard mclaren supposed get russian athletes banned olympics pretext fighting clean sports nbsp nbsp"
3407,"order granted asylum europe ukrainians resorting pretending gay communist , ukrainians communist party membership cards settled italy, czech republic ukrainians constitute country second largest migr community"
3408,"ukrainian member parliament claimed ukraine allegedly lost half gdp western sanctions russia russia sanctions first foremost took away incomes citizens ukraine lost half gdp, russia lost , europe less , half"
3409,"eu treats romania colony, would happy romxit steal country resources george soros financing protests romania"
3410,"dutch russian foreign ministers planned discuss, among things, investigation malaysian boeing shot ukrainian buk july nbsp"
3411,normalisation relations russia netherlands possible one condition netherlands ready tell world truth malaysian plane shot air force ukraine nbsp
3412,"romanians demanding yes, idea great romania get back territories seized soviet union northern bukovina part chernivtsi region, ukraine south bessarabia, part odessa region moldova hungarians demand part transcarpathia, thousand hungarians live ukrainian identity exist percent people living ethnic russians majority ukrainian population ethnic russians"
3413,"ukraine stated committed european values specify kind european values apparently, values european period thirties forties th century europe rule fascism"
3415,"new evidence snipers killed protesters maidan square february georgian took orders maidan leaders, yanukovych regime"
3416,"swedish left party called upon swedish statistics office start collecting data ethnicity facilitate fight crime issue collecting data ethnicity religion become focus attention sweden revealed foreigners responsible majority certain criminal acts eg, rape"
3417,kilometre wide security zone established unilaterally united states around al tanf military compound used isis us military presence obstacle peace process syria
3418,"strategy order enforcement chosen prefect paris highly criticised wanted yellow vests demonstration start place italie, area construction contains construction equipment, often thrown thugs who, surprisingly, since early morning controversy also growing video clearly showing two people framing third man, dressed black, behind line crs riot police let pass whilst repeating bac, bac branch criminal police france , noted liberation checknews led accusations police infiltrators within thugs wanted government destroy anniversary yellow vests worse fracture serves dictatorship put place"
3419,"czech republic, , arab migrants living legally two huge gaps czech legislation allowing almost uncontrolled migrations arabs czech republic legal visas issued students businessmen countries saudi arabia, yemen, qatar united arab emirates entrepreneurship brings money, therefore granting visas entrepreneurs called therapeutic stays unlimited second dangerous channel migration czech republic studies arab students bring sponsorship money arab countries higher education institutions, problem get student visa"
3420,european women repent indecent acts clothes forced migrants carry sexual violence
3422,germans pay refugees harems well
3423,"refugees come finland aim stay enjoy privileges honey europe forever resist expelling attempt means, within law outside nbsp"
3424,soros recognised defeat fight russia
3426,"us gave russia information terror attack preparation st petersburg russia shares information us secret services equally us need appeared need this, boston marathon bombing happened, people got killed need going work want nbsp nbsp"
3427,"citizen russia may end list russian billionaires top officials demands presented us, whole nation every one us bad lives russia, russian something similar racial segregation almost nazism analogy last century germany said jew enemy german nation jew started holocaust nbsp nbsp"
3428,four officers ukraine security service killed near town vinohradiv transcarpathia close border hungary
3433,"washington, bolivia another point map military coup ended successfully official statement, trump already noted two new goals venezuela nicaragua coup bolivia resembles colour revolutions"
3434,"recently, baltic countries fiercely nord stream natural gas pipeline end last year suddenly stopped opposing nbsp"
3435,kyiv nato troops must enter ukraine hit moscow
3436,"german business ready work crimea order assess situation, deputies three regional parliaments germany arrived peninsula official visit main purpose delegation business meetings"
